"ASV","s.cn_control","s.cn_ecigarettes","s.cn_tobacco","s.us_control","s.us_ecigarettes","s.us_tobacco","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"e34bae2ab1f4c6c95ef0229dd5bc6ae9",0,0,0,0,1,0,5,0.618263588812353,0.03,"d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus",NA
"9b84c28457b400b5694dd08547a42e61",0,0,0,1,1,1,41,0.911058112759076,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Tannerella",NA
"2b3d94eb60ccd91c8cb9ca2f06158735",0,0,0,1,0,0,4,0.800841641826531,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Peptoanaerobacter",NA
"b455ef92c8751379d0518d2f9f29e93a",0,1,0,1,1,1,55,0.948475901089962,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella",NA
"4f6c9ee0f472b568270d7ed78278aa19",0,0,0,1,1,1,41,0.858531085892709,0.005,"d__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Fretibacterium",NA
"8ae885b74c0c26b7c757e8fa4bf3f226",1,1,1,1,0,0,42,0.868281333264371,0.025,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Johnsonella",NA
"cbec040e335e384c87eb0a606e4d4575",0,0,0,1,1,1,41,0.794719414239026,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011",NA
"ad74eabc2b6ff455a8f1892bee15a3cc",0,0,0,1,0,1,20,0.755928946018454,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__Incertae_Sedis","g__Incertae_Sedis",NA
"021cec1991db0604b58a15c8568348c2",0,0,0,0,1,1,21,0.808796373756412,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Lentimicrobiaceae","g__Lentimicrobium",NA
"14bebabdecdeb9efdd5809629e49451f",0,0,0,1,0,0,4,0.619694540575159,0.04,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Aminipila",NA
