function	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
RXN-11091	17.25	0.0	12.5	33.5	0.0	29.75	1.0	0.0	0.0	183.75	0.0	107.75	35.5	0.0	23.75	26.5	0.0	15.0	30.0	0.0	11.5	30.5	0.0	42.5	7.5	0.0	38.0	2.0	0.0	43.5	0.0	0.0	11.0	8.5	0.0	32.75	1.25	0.0	0.0	25.75	0.0	13.0	11.0	0.0	0.0	3.25	0.0	29.0	24.5	0.0	0.0	255.5	0.0	683.25	5.25	0.0	37.25	52.5	0.0	24.0	15.25	0.0	29.5	39.25	0.0	58.0	80.0	0.0	16.25	2.25	0.0	7.25	2.25	0.0	3.25	0.0	0.0	0.0	38.25	0.0	7.0	19.0	0.0	109.25	20.75	0.0	20.0	12.5	0.0	2.0
RXN-11092	17.25	0.0	12.5	33.5	0.0	29.75	1.0	0.0	0.0	183.75	0.0	107.75	35.5	0.0	23.75	26.5	0.0	15.0	30.0	0.0	11.5	30.5	0.0	42.5	7.5	0.0	38.0	2.0	0.0	43.5	0.0	0.0	11.0	8.5	0.0	32.75	1.25	0.0	0.0	25.75	0.0	13.0	11.0	0.0	0.0	3.25	0.0	29.0	24.5	0.0	0.0	255.5	0.0	683.25	5.25	0.0	37.25	52.5	0.0	24.0	15.25	0.0	29.5	39.25	0.0	58.0	80.0	0.0	16.25	2.25	0.0	7.25	2.25	0.0	3.25	0.0	0.0	0.0	38.25	0.0	7.0	19.0	0.0	109.25	20.75	0.0	20.0	12.5	0.0	2.0
RXN-11108	4.0	60.2	17.0	3.0	286.0	12.0	3.0	292.5	0.0	0.0	293.9	0.0	10.0	146.5	0.0	64.0	139.3	153.5	10.0	139.3	7.0	9.0	0.0	2.0	26.0	26.0	0.0	0.0	902.0	0.0	0.0	598.33	0.0	5.0	259.4	88.0	3.0	298.0	0.0	0.0	14.0	0.0	2.5	0.0	0.0	0.0	15.0	0.0	57.0	185.0	0.0	184.0	174.5	69.0	18.0	92.0	12.0	15.0	87.7	2.0	18.0	46.4	26.0	0.0	29.0	0.0	0.0	17.6	0.0	203.0	27.0	35.0	73.0	10.5	0.0	5.0	99.5	0.0	7.0	74.5	0.0	6.0	207.0	0.0	19.0	171.5	1.5	71.0	36.5	58.0
RXN-11128	8.0	0.0	0.0	26.0	0.0	10.0	5.0	0.0	0.0	40.0	0.0	43.0	17.0	0.0	0.0	23.0	0.0	12.0	23.0	0.0	9.0	24.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	57.38	0.0	512.0	0.0	0.0	29.5	18.0	0.0	10.0	11.0	0.0	26.0	8.0	0.0	0.0	35.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	6.0	0.0	0.0	8.0	0.0	9.0	6.0	0.0	0.0
RXN-11136	2024.2	293.0	6552.74	7719.559999999999	114.76	3245.09	4965.4400000000005	182.47000000000003	750.8599999999999	2650.03	462.0	3219.7	3344.54	120.24	734.75	4278.5	707.0	2941.44	5735.629999999999	372.84	8429.720000000001	5015.16	765.17	7163.2	4136.4400000000005	319.95	4091.05	6000.3	726.63	4139.2	694.9300000000001	694.67	406.1	2895.43	409.83	2697.65	3052.42	32.62	2670.4	3149.34	31.67	6220.13	6635.37	8.86	14394.6	2185.84	399.0	601.9200000000001	3301.04	177.76	540.1999999999999	10157.38	117.0	3759.28	3511.58	91.0	6253.29	1875.95	176.0	539.02	4236.47	106.0	4134.76	1286.5300000000002	859.03	449.58	1955.84	971.37	536.8199999999999	2087.4300000000003	138.32999999999998	683.14	1151.81	71.0	73.6	3487.27	130.32999999999998	264.8	6032.110000000001	102.33	1901.39	3454.5	153.14	1204.85	4222.49	175.24	1992.09	2045.67	252.17	1162.04
RXN-11141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	66.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	6.0
RXN-11146	11403.44	28123.96	16027.03	8593.29	60893.130000000005	11650.48	6674.1	26975.51	45871.47	9777.04	54229.66	25793.68	7277.559999999999	30787.140000000003	6580.56	10232.6	46730.81	18442.04	8058.889999999999	41591.05	17672.559999999998	6742.54	49111.6	20253.59	8531.38	45287.21	14514.7	6965.04	51208.73	9959.78	22085.9	25557.72	21120.88	6104.52	42292.87	10290.71	4157.67	29161.99	5832.58	7634.620000000001	35041.43	8373.74	5598.24	47859.5	3922.52	9480.24	42658.16	9414.82	4601.14	24693.2	12161.74	23224.99	34979.87	10997.96	9785.66	30097.35	55762.63	11096.53	43716.77	25043.01	8438.68	31136.79	17815.87	17859.190000000002	19245.34	25245.11	15595.42	21794.22	28736.19	2222.61	11940.84	5563.360000000001	8035.73	14210.6	13136.24	2112.26	52886.32	14632.36	6082.6900000000005	14175.7	9635.59	7832.74	31558.77	11698.51	5508.84	44154.28	5415.43	8697.32	14228.31	18256.74
RXN-11174	0.0	0.0	0.0	0.0	383.43	2.0	7.0	148.0	5.0	0.0	128.0	0.0	0.0	144.71	0.0	0.0	150.0	0.0	2.0	44.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	0.0	168.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	117.29	0.0	0.0	0.0	0.0	0.0	476.0	0.0	0.0	400.0	4.0	2.0	67.29	0.0	2.71	383.0	0.0	24.0	0.0	18.0	0.0	21.0	2.29	0.0	522.0	0.0	0.0	24.0	0.0	0.0	18.0	0.0	0.0	103.0	0.0	7.0	68.0	0.0	0.0	104.0	0.0	0.0	33.0	0.0	0.0	8.0	0.0	0.0	414.57	2.29	0.0	5.0	0.0
RXN-11181	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-11186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
