sample	weighted_NSTI
E1	0.024572447461330915
E2	0.016541069314562524
E3	0.01694462349011556
E4	0.052296903367885283
E5	0.021890040847003196
NS1	0.008176561412534039
NS2	0.012145186248057268
NS3	0.021270894928712772
NS4	0.008745302784965612
NS5	0.011083283123901942
NS6	0.02216512067142085
QS1	0.015470229982267077
QS2	0.015908718418478462
QS3	0.011432055383642767
QS4	0.014796697912618076
QS5	0.009173375511123752
QS6	0.021233505406692055
QS7	0.019657924884845624
QS8	0.017265918049218412
S1	0.016958961616939147
S10	0.01922184056590529
S11	0.02733266336489271
S12	0.01836457115849321
S13	0.015914330180801687
S14	0.009658088535332714
S2	0.023159502243566388
S3	0.022085320216113747
S4	0.015966197016818832
S5	0.0460228126237161
S6	0.01886121314155983
S7	0.03014371539754921
S8	0.029939431085447162
S9	0.0265304919112432
